gene	hr	se	pval	I2	I2_pval	fdr
A1BG	0.058495881201312	0.0707254319871092	0.408189388070503	0.494502879265096	0.0220683775999418	0.955123663920884
A2M	-0.0084686521357997	0.0637118915597334	0.894255811529513	0.395218766836886	0.0701366974416194	0.999098490625842
A4GALT	-0.0508271812176283	0.0458143293638806	0.267250469614559	0	0.61417763204138	0.920957335424581
AAAS	0.0016848990516574	0.0680194898794016	0.980237760184118	0.478925952570128	0.0274777461913061	0.999534608439592
AACS	0.00967748967455446	0.0445428307621245	0.828003728900234	0.237099797033156	0.203944378526829	0.996781463723151
AADAC	0.0665455703889343	0.0522074495409179	0.20243759544305	0.278448043076013	0.164020231242828	0.889746618404533
AADAT	0.0690795468308911	0.0453208810902613	0.127450714025567	0	0.459080012694996	0.833325505188317
AAGAB	-0.0376326714549207	0.0566563943681601	0.506545435021756	0.306490209440348	0.138540359202963	0.967285415952582
AAK1	-0.0889586093425074	0.0507639590681145	0.0797055677476434	0	0.459751156459289	0.771705330359548
AAMDC	-0.0160983430122551	0.0461722576824529	0.727345818928183	0	0.563107416418242	0.992556031691345
AAMP	0.00162585404926228	0.0440381003181184	0.970549383432027	0	0.812523057201073	0.999534608439592
AAR2	-0.0270213167585383	0.0654838416816613	0.679869670506335	0.456492206071758	0.0366460838868499	0.990966571096782
AARS2	0.0101536065734541	0.0441729877858744	0.818200496123094	0.35957628978504	0.0950609012707532	0.996781463723151
AARSD1	0.0732757165459526	0.052569882646325	0.163356093874694	0.432667610271886	0.048203788862259	0.871127683477876
AASDH	-0.00339983284700646	0.0446152670407577	0.939257316860687	0	0.906644875159817	0.999109405186317
AASDHPPT	0.0306713090182081	0.0447709146686544	0.493298361680568	0	0.890279587345392	0.965864308560853
AASS	0.0597689614450538	0.0634525230916572	0.346219390724255	0.356926334384084	0.0970607244485504	0.939810214483701
AATK	0.0172904519730872	0.0424162233826454	0.683539678043888	0	0.644613201956182	0.99102636065008
ABAT	-0.0385412337664374	0.0466489024246339	0.408691735407895	0	0.66930265093359	0.955123663920884
ABCA1	-0.0339154017934584	0.0448881938543297	0.449917347656832	0	0.701774411233906	0.956937763751254
ABCA10	0.00628012465135224	0.0653596932028697	0.923452596256265	0.494539360470144	0.0220566061948487	0.999098490625842
ABCA12	0.00773708022008441	0.0472355162007962	0.869890213893024	0	0.66148611919745	0.997724516827895
ABCA13	0.00606553498139588	0.0447898570846909	0.892278178703635	0	0.728462944737637	0.999098490625842
ABCA2	0.00542845629099132	0.0450765680336638	0.904144545080423	0	0.509589910496234	0.999098490625842
ABCA3	-0.0619169236161655	0.0607023747186309	0.30772454333004	0.374738886240593	0.0839995029077742	0.927794878157645
ABCA4	0.0806887484914681	0.0447153771453497	0.0711534830560212	0	0.775141842580793	0.755495473423885
ABCA5	-0.0697006525181234	0.0484255786028318	0.150055500277215	0	0.55248199896074	0.859457691643775
ABCA6	0.032310045093222	0.0444831829203829	0.46762857228974	0.250808270687182	0.190446722951343	0.962118910244041
ABCA7	-0.0103406519207261	0.0606860563841567	0.864698838748694	0.290628286007288	0.152770063117886	0.997724223732969
ABCA8	0.0351605230569705	0.0423184907125251	0.40605563500295	0	0.83186968054585	0.954327514333911
ABCA9	0.0267948288660104	0.0429685326985198	0.532895632711094	0.0817546000180475	0.364088606753532	0.968498662531654
ABCB1	0.00734121618945279	0.0769795395248906	0.924024271432575	0.535818989770233	0.0112634332822963	0.999098490625842
ABCB10	-0.0290320701536225	0.05407401956386	0.591340152365368	0.184979286072337	0.256903859310318	0.981289059227847
ABCB4	0.0448051588478249	0.053771795003048	0.404705734319095	0.0750995287449649	0.370906409912152	0.954200607766649
ABCB6	0.0936910003821413	0.0694782735588789	0.177499708938232	0.469961137743177	0.0309438451416854	0.880747218984851
ABCB7	-0.00542038739699776	0.0585906684782419	0.926290613738819	0.355677366150542	0.0980099777488964	0.999098490625842
ABCB8	0.0217478118167221	0.0484768693464729	0.653704037186031	0	0.447017738563813	0.989370495901281
ABCB9	0.0726313335453683	0.0686878124804123	0.290323488498745	0.509908820265997	0.0174596122170725	0.927561844201342
ABCC1	-0.0204158426674525	0.0762154701752952	0.788799339406812	0.579220105570848	0.0046423800141057	0.99422591583515
ABCC10	0.0387282168766726	0.0437905559944448	0.376482181832684	0	0.463842146603439	0.945656521152455
ABCC2	0.00982371001027524	0.0501803497919953	0.844791706340699	0.258532588360387	0.182947689334701	0.997584643634475
ABCC3	-0.026484423980933	0.0445302701541923	0.552009906506211	0	0.517412938588929	0.97296213626582
ABCC4	-0.026767326338824	0.0460915491729077	0.561413942596063	0	0.712108233943298	0.975493411149398
ABCC5	0.0526657094720548	0.0585890326557492	0.368705673247065	0.328590883100261	0.11960586943112	0.942157184936739
ABCC6	-0.0702554630130608	0.058925747557857	0.233154981470705	0.246476318280912	0.194687058491473	0.908451256478881
ABCC9	-0.0102675570104436	0.0439407577779757	0.815242590612268	0.191200081585194	0.250483184714332	0.996781463723151
ABCD2	-0.0509943381327013	0.0816156305817851	0.532095155522871	0.604690813009171	0.00246756741804088	0.968235312529241
ABCD3	-0.0485264112073241	0.0451562573864435	0.282539003178545	0	0.938838324755649	0.927561844201342
ABCD4	0.0080154681433751	0.0424322890864485	0.850171032230715	0	0.685467555044957	0.997584643634475
ABCE1	0.0576811503215178	0.0423171652428848	0.172861255538172	0	0.942604940337519	0.874866101035293
ABCF1	-0.0572984691060552	0.0610026216249009	0.347587621362159	0.340668583794085	0.109743997407036	0.939810214483701
ABCF2	0.107069727793819	0.0444906706996709	0.0161033015563368	0	0.629181002159311	0.575466625580523
ABCF3	-0.0388633835588927	0.0631383703609515	0.538206619975717	0.403036897790484	0.0651856039310845	0.970519749040471
ABCG1	-0.107056983917576	0.0466966137860874	0.0218706406761301	0.134209440883829	0.309726937306128	0.610607920917105
ABCG2	-0.0492811587150841	0.0444950686650004	0.268049939740149	0	0.787753799787275	0.920957335424581
ABHD1	0.0149410305264471	0.043206795330526	0.729490925571253	0.00844593968318328	0.437505982070374	0.992556031691345
ABHD10	-0.0687177172261062	0.043205453296772	0.111725045336546	0	0.536019126223182	0.820759614936593
ABHD12	-0.113175784425718	0.0495352107004039	0.0223272401563954	0.175945947520757	0.266258309870736	0.610607920917105
ABHD12B	0.0839789200943969	0.0505936511637557	0.096940463294467	0	0.551657145543725	0.803031414469778
ABHD13	0.00053135462993836	0.048693540489714	0.991293480870696	0.0717393829592285	0.37433930684168	0.999534608439592
ABHD14A	0.0126758164477028	0.0445429333907592	0.775969574458473	0	0.500179754696341	0.992556031691345
ABHD14B	0.0265232884173782	0.0450814450539906	0.556303044570325	0	0.536454851363402	0.972983018706779
ABHD15	-0.0556885039246869	0.0566203534978377	0.325340683567056	0.239037249610725	0.202023075509693	0.930504549032738
ABHD17A	-0.048329506601383	0.0569722486373141	0.396271424977427	0.160465371991426	0.282351777950186	0.951861834016521
ABHD17B	0.00347585934445243	0.0456875507089522	0.939356313907062	0	0.889761458267837	0.999109405186317
ABHD17C	0.0385016536219243	0.0440580859177076	0.382181462685237	0	0.717354978921224	0.947273531277166
ABHD2	-0.0762884537452216	0.0569949223615511	0.180729212693612	0.0983658850637384	0.346975257987063	0.883561323867214
ABHD3	-0.0540357240832351	0.0600753918181585	0.368404926037203	0.349349782042448	0.102884181438155	0.942157184936739
ABHD4	-0.0110695075604608	0.0463560464821989	0.811265962043893	0	0.832017940265929	0.996781463723151
ABHD5	-0.0730708634394602	0.0431998148093764	0.0907485187604431	0	0.808342488820192	0.794583755891088
ABHD6	-0.112125235930819	0.0441260213000559	0.0110528641832886	0.282785473373696	0.159983704334185	0.516854643827949
ABHD8	-0.021379962711855	0.0454984118849281	0.638422397624657	0	0.616098693148408	0.985298496651917
ABI1	-0.0842959116848264	0.0452860696929714	0.0626863970152278	0.187620250647821	0.254175703595406	0.74197984816405
ABI2	0.0915321074034442	0.0836380209990406	0.273786622195627	0.586586966234385	0.0039042347788635	0.922674224005382
ABI3	-0.0581751737591505	0.0624516282245727	0.351582714651421	0.392754970193861	0.0717366362320234	0.939810214483701
ABI3BP	-0.093414406804268	0.0578013270655273	0.106066403362963	0.330296715850281	0.118191257804395	0.813968273293941
ABL1	0.0159230301674353	0.0457063991463235	0.727557534093824	0	0.462968770563491	0.992556031691345
ABL2	0.0545806008806403	0.0431637522913225	0.206050320647069	0.082711116950367	0.363106756976702	0.893257200642166
ABLIM1	-0.00848507122704499	0.0594699684425942	0.886544292254007	0.220893910194781	0.220171168937193	0.998486202888547
ABLIM2	0.0160455051104593	0.0435876913921758	0.712783687480298	0.0240285749620115	0.42225355684426	0.992556031691345
ABLIM3	-0.0574079514262709	0.0456982699453934	0.209029310999013	0	0.454655562387292	0.893866443621958
ABR	0.00285976692811439	0.0753699687531623	0.969733084204896	0.540930627209072	0.0102552722056279	0.999534608439592
ABRACL	-0.00462298685670017	0.0476803007033626	0.922759744038155	0	0.595404497297682	0.999098490625842
ABTB1	-0.0435549326926539	0.0509366513199461	0.392506633923803	0.102032875518231	0.34318147875162	0.951136087355754
ABTB2	-0.0444907327980623	0.0457368826733582	0.330675609987796	0	0.460007625758444	0.933547454840127
ACAA1	-0.0436140539668646	0.0434156734214599	0.315104271646051	0	0.697732140245313	0.930466443454218
ACAA2	-0.110451409629705	0.0449221902983345	0.0139430534537327	0.14148256543309	0.302141982878989	0.549124664294451
ACACB	-0.0760581686341859	0.0547510111495015	0.164782691737668	0.122772963563305	0.321643363003883	0.871127683477876
ACAD10	0.0189258458265401	0.0578536282518751	0.743567099128988	0.335965998132183	0.113540790610914	0.992556031691345
ACAD11	0.0107503672141784	0.0600641833981098	0.857952364295586	0.35431996096431	0.0990464809689626	0.997724223732969
ACAD8	-0.024520861442503	0.0434837693986438	0.572816494723155	0	0.995591541556387	0.977586727184318
ACAD9	-0.00617966810544477	0.0423644070385711	0.884024535584709	0	0.582429965302344	0.998109002260004
ACADL	-0.091785054267644	0.0680637185172648	0.177492284765366	0.455445939587789	0.0371141025361296	0.880747218984851
ACADM	-0.0860515409689379	0.0559886829807179	0.124306714606214	0.204411412134876	0.236919461160302	0.831883208985233
ACADS	-0.0520183600124692	0.0525948840662332	0.322644354009743	0.17608339555088	0.266115738064251	0.930466443454218
ACADSB	-0.0751198686577798	0.0454861702598304	0.0986389497443843	0.0118366065834222	0.434205825488894	0.808458998337118
ACADVL	0.0363363987780351	0.0432712298983976	0.401056563555085	0	0.88617152572087	0.953014054103219
ACAN	0.0146865545578545	0.0470844603350411	0.755101811717647	0.131138702958501	0.312928208229706	0.992556031691345
ACAP1	-0.0622380252249292	0.0589635284950603	0.291181042929753	0.269014109460871	0.172908783854523	0.927561844201342
ACAP2	-0.103251664109554	0.0441968441092659	0.0194820026757274	0	0.65982621025555	0.595008760914456
ACAP3	0.0766934283695266	0.0753441437919446	0.308721542843491	0.55931078934722	0.00715874661543248	0.92842411774377
ACAT1	-0.0341628697562454	0.044688777286067	0.444592004269522	0	0.713101833354187	0.955645319577594
ACAT2	-0.0434250470022991	0.0450007130947933	0.334551947861635	0	0.677876993839652	0.936133816618473
ACBD3	0.00253353553522918	0.0439240546250214	0.954003596227109	0	0.564494197101528	0.999534608439592
ACBD4	0.028926375285958	0.0593258545912993	0.625844079489846	0.371519233565942	0.0862930200964379	0.984956278872032
ACBD5	-0.0703374455983716	0.0492090252227799	0.152900594533003	0	0.468153814623243	0.866644253754876
ACBD6	0.0780024629813005	0.0570117195185174	0.171254815014494	0.277050935141342	0.165327295879915	0.874866101035293
ACBD7	-0.00634732529570159	0.0491934113691724	0.897335528385129	0	0.602771686601475	0.999098490625842
