signature	signatureType	outcome	model	study	Primary	Sequencing	N	Effect_size	SE	95CI_low	95CI_high	Pval
CRMA	Signature	OS	COX	Snyder	Ureteral	TPM	25	0.48	0.49	-0.48	1.45	0.328061818231034
CRMA	Signature	PFS	COX	Snyder	Ureteral	TPM	25	0.46	0.5	-0.51	1.44	0.350376375845803
CRMA	Signature	OS	DI	Snyder	Ureteral	TPM	25	0.41	0.39	-0.34	1.17	0.285214810334393
CRMA	Signature	PFS	DI	Snyder	Ureteral	TPM	25	0.42	0.4	-0.37	1.2	0.294569519693638
CRMA	Signature	Response	Log_regression	Snyder	Ureteral	TPM	22	1.27	1.14	-0.79	3.88	0.266477088528642
LRRC15_CAF	Signature	OS	COX	Braun	Kidney	TPM	178	0.26	0.21	-0.16	0.67	0.227451128862904
LRRC15_CAF	Signature	OS	COX	Fumet.2	Lung	TPM	43	0.24	0.37	-0.49	0.97	0.523461930545234
LRRC15_CAF	Signature	OS	COX	Hugo	Melanoma	FPKM	27	0.53	0.61	-0.67	1.72	0.386214698921489
LRRC15_CAF	Signature	OS	COX	Liu	Melanoma	FPKM	121	-0.35	0.31	-0.96	0.26	0.265682351238733
LRRC15_CAF	Signature	OS	COX	Mariathasan	Bladder	TPM	194	0.09	0.15	-0.21	0.39	0.563513636867254
LRRC15_CAF	Signature	OS	COX	Mariathasan	Kidney	TPM	67	-0.35	0.29	-0.92	0.23	0.237295983717252
LRRC15_CAF	Signature	OS	COX	Mariathasan	Lymph_node	TPM	26	0.43	0.41	-0.36	1.23	0.286500388919364
LRRC15_CAF	Signature	OS	COX	Mariathasan	Ureteral	TPM	26	0.31	0.46	-0.59	1.21	0.499351953067108
LRRC15_CAF	Signature	OS	COX	Miao.1	Kidney	TPM	33	-0.08	0.47	-1	0.85	0.872129007489055
LRRC15_CAF	Signature	OS	COX	Nathanson	Melanoma	FPKM	24	0.04	0.6	-1.14	1.22	0.946510690990238
LRRC15_CAF	Signature	OS	COX	Riaz	Melanoma	TPM	51	-0.13	0.35	-0.8	0.55	0.712960981567537
LRRC15_CAF	Signature	OS	COX	Snyder	Ureteral	TPM	25	0.86	0.48	-0.09	1.81	0.076674889071364
LRRC15_CAF	Signature	OS	COX	Van_Allen	Melanoma	TPM	42	0.75	0.46	-0.16	1.66	0.105779896108457
LRRC15_CAF	Signature	PFS	COX	Braun	Kidney	TPM	178	0.06	0.17	-0.29	0.4	0.751319950429595
LRRC15_CAF	Signature	PFS	COX	Fumet.1	Lung	TPM	44	-0.14	0.39	-0.9	0.61	0.709011389907259
LRRC15_CAF	Signature	PFS	COX	Fumet.2	Lung	TPM	43	-0.29	0.33	-0.93	0.35	0.373158251752022
LRRC15_CAF	Signature	PFS	COX	Jung	Lung	TPM	26	0.11	0.42	-0.71	0.93	0.797918980969423
LRRC15_CAF	Signature	PFS	COX	Liu	Melanoma	FPKM	121	-0.33	0.27	-0.87	0.21	0.225486685575204
LRRC15_CAF	Signature	PFS	COX	Miao.1	Kidney	TPM	33	0.12	0.81	-1.46	1.7	0.880239975992905
LRRC15_CAF	Signature	PFS	COX	Snyder	Ureteral	TPM	25	0.88	0.46	-0.02	1.77	0.054378840382847
LRRC15_CAF	Signature	PFS	COX	Van_Allen	Melanoma	TPM	42	0.72	0.41	-0.08	1.53	0.0785537112852786
LRRC15_CAF	Signature	OS	DI	Braun	Kidney	TPM	178	0.21	0.16	-0.11	0.53	0.19397518862394
LRRC15_CAF	Signature	OS	DI	Fumet.2	Lung	TPM	43	0.43	0.36	-0.27	1.13	0.224654097035945
LRRC15_CAF	Signature	OS	DI	Hugo	Melanoma	FPKM	27	0.51	0.52	-0.51	1.54	0.326081911132272
LRRC15_CAF	Signature	OS	DI	Liu	Melanoma	FPKM	121	-0.26	0.22	-0.68	0.17	0.23307797986166
LRRC15_CAF	Signature	OS	DI	Mariathasan	Bladder	TPM	194	0.06	0.14	-0.22	0.34	0.673749303701225
LRRC15_CAF	Signature	OS	DI	Mariathasan	Kidney	TPM	67	-0.26	0.23	-0.71	0.18	0.242267716931204
LRRC15_CAF	Signature	OS	DI	Mariathasan	Lymph_node	TPM	26	0.38	0.37	-0.35	1.12	0.302201642025396
LRRC15_CAF	Signature	OS	DI	Mariathasan	Ureteral	TPM	26	0.27	0.45	-0.61	1.16	0.545625616554699
LRRC15_CAF	Signature	OS	DI	Miao.1	Kidney	TPM	33	0.01	0.41	-0.8	0.82	0.979877360375159
LRRC15_CAF	Signature	OS	DI	Nathanson	Melanoma	FPKM	24	0.19	0.44	-0.68	1.05	0.669632650318569
LRRC15_CAF	Signature	OS	DI	Riaz	Melanoma	TPM	51	-0.03	0.29	-0.59	0.52	0.902985726652613
LRRC15_CAF	Signature	OS	DI	Snyder	Ureteral	TPM	25	0.69	0.43	-0.16	1.54	0.109373611733592
LRRC15_CAF	Signature	OS	DI	Van_Allen	Melanoma	TPM	42	0.43	0.3	-0.15	1.01	0.142484423259134
LRRC15_CAF	Signature	PFS	DI	Braun	Kidney	TPM	178	0.07	0.13	-0.19	0.33	0.585247429098321
LRRC15_CAF	Signature	PFS	DI	Fumet.1	Lung	TPM	44	-0.14	0.34	-0.82	0.53	0.682744462669725
LRRC15_CAF	Signature	PFS	DI	Fumet.2	Lung	TPM	43	-0.14	0.3	-0.72	0.45	0.644484743812352
LRRC15_CAF	Signature	PFS	DI	Jung	Lung	TPM	26	0.14	0.36	-0.58	0.85	0.710080660571897
LRRC15_CAF	Signature	PFS	DI	Liu	Melanoma	FPKM	121	-0.24	0.19	-0.61	0.14	0.215781918934998
LRRC15_CAF	Signature	PFS	DI	Miao.1	Kidney	TPM	33	0.06	0.69	-1.3	1.42	0.935426039617009
LRRC15_CAF	Signature	PFS	DI	Snyder	Ureteral	TPM	25	0.67	0.39	-0.1	1.44	0.08481253828366
