signature	signatureType	outcome	model	Subgroup	Type	N	Effect_size	SE	95CI_low	95CI_high	Pval	I2	Pval_I2
CRMA	Signature	OS	COX	ALL	ALL	1	0.48	0.49	-0.48	1.44	0.327287636085746	NA	NA
CRMA	Signature	OS	COX	Tumor	Melanoma	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	COX	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	COX	Tumor	Kidney	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	COX	Sequencing	TPM	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	COX	Sequencing	FPKM	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	COX	ALL	ALL	1	0.46	0.5	-0.52	1.44	0.357572759228743	NA	NA
CRMA	Signature	PFS	COX	Tumor	Melanoma	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	COX	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	COX	Tumor	Kidney	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	COX	Sequencing	TPM	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	COX	Sequencing	FPKM	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	DI	ALL	ALL	1	0.41	0.39	-0.35	1.17	0.293129068088163	NA	NA
CRMA	Signature	OS	DI	Tumor	Melanoma	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	DI	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	DI	Tumor	Kidney	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	DI	Sequencing	TPM	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	DI	Sequencing	FPKM	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	DI	ALL	ALL	1	0.42	0.4	-0.36	1.2	0.293718112751792	NA	NA
CRMA	Signature	PFS	DI	Tumor	Melanoma	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	DI	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	DI	Tumor	Kidney	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	DI	Sequencing	TPM	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	DI	Sequencing	FPKM	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	Response	Log_regression	ALL	ALL	1	1.27	1.14	-0.96	3.5	0.265264134179466	NA	NA
CRMA	Signature	Response	Log_regression	Tumor	Melanoma	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	Response	Log_regression	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	Response	Log_regression	Tumor	Kidney	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	Response	Log_regression	Sequencing	TPM	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	Response	Log_regression	Sequencing	FPKM	0	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	OS	COX	ALL	ALL	13	0.11	0.09	-0.06	0.28	0.188511231585012	0	0.472986997713393
LRRC15_CAF	Signature	OS	COX	Tumor	Melanoma	5	0.06	0.22	-0.38	0.49	0.802219989263096	0.17	0.305685348127048
LRRC15_CAF	Signature	OS	COX	Tumor	Lung	1	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	OS	COX	Tumor	Kidney	3	-0.01	0.22	-0.45	0.43	0.962872073209766	0.33	0.226466928089183
LRRC15_CAF	Signature	OS	COX	Sequencing	TPM	10	0.15	0.09	-0.03	0.33	0.111062708242018	0	0.453995905894513
LRRC15_CAF	Signature	OS	COX	Sequencing	FPKM	3	-0.12	0.26	-0.63	0.38	0.634002329964895	0	0.415934596932924
LRRC15_CAF	Signature	PFS	COX	ALL	ALL	8	0.05	0.13	-0.21	0.31	0.697105733010199	0.24	0.236726196449222
LRRC15_CAF	Signature	PFS	COX	Tumor	Melanoma	2	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	PFS	COX	Tumor	Lung	3	-0.14	0.22	-0.56	0.29	0.522539087724501	0	0.755464133416695
LRRC15_CAF	Signature	PFS	COX	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	PFS	COX	Sequencing	TPM	7	0.11	0.12	-0.12	0.35	0.348663932396055	0.14	0.322557712625436
LRRC15_CAF	Signature	PFS	COX	Sequencing	FPKM	1	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	OS	DI	ALL	ALL	13	0.1	0.07	-0.04	0.24	0.160585574177601	0	0.508247622168876
LRRC15_CAF	Signature	OS	DI	Tumor	Melanoma	5	0.07	0.17	-0.25	0.39	0.670768645277159	0.12	0.337798273776469
LRRC15_CAF	Signature	OS	DI	Tumor	Lung	1	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	OS	DI	Tumor	Kidney	3	0.02	0.18	-0.33	0.36	0.924847741526678	0.29	0.243437249620725
LRRC15_CAF	Signature	OS	DI	Sequencing	TPM	10	0.13	0.08	-0.02	0.29	0.0853085486651617	0	0.564065737560183
LRRC15_CAF	Signature	OS	DI	Sequencing	FPKM	3	-0.02	0.24	-0.48	0.44	0.929870306049571	0.14	0.311511807437306
LRRC15_CAF	Signature	PFS	DI	ALL	ALL	8	0.06	0.1	-0.14	0.26	0.563065514046587	0.13	0.330527752618728
LRRC15_CAF	Signature	PFS	DI	Tumor	Melanoma	2	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	PFS	DI	Tumor	Lung	3	-0.06	0.19	-0.44	0.31	0.747671732560948	0	0.804501608398204
LRRC15_CAF	Signature	PFS	DI	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	PFS	DI	Sequencing	TPM	7	0.12	0.1	-0.06	0.31	0.193546120299224	0	0.53199786256999
LRRC15_CAF	Signature	PFS	DI	Sequencing	FPKM	1	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	Response	Log_regression	ALL	ALL	13	0.09	0.19	-0.27	0.46	0.618023026072007	0.37	0.0853955371292218
LRRC15_CAF	Signature	Response	Log_regression	Tumor	Melanoma	5	0.43	0.47	-0.48	1.34	0.352391909133898	0.44	0.129963253240074
LRRC15_CAF	Signature	Response	Log_regression	Tumor	Lung	3	-0.15	0.42	-0.96	0.67	0.722402187816453	0	0.400951470015822
LRRC15_CAF	Signature	Response	Log_regression	Tumor	Kidney	3	-0.37	0.44	-1.24	0.51	0.410582802022453	0.41	0.18262408817864
LRRC15_CAF	Signature	Response	Log_regression	Sequencing	TPM	10	0.04	0.2	-0.35	0.43	0.846271607188997	0.32	0.154353665348088
LRRC15_CAF	Signature	Response	Log_regression	Sequencing	FPKM	3	0.69	0.74	-0.75	2.13	0.350011060699941	0.65	0.0570862199718558
Myeloid_DC	Signature	OS	COX	ALL	ALL	10	-0.12	0.17	-0.46	0.21	0.474100113689765	0.58	0.0117028149815361
Myeloid_DC	Signature	OS	COX	Tumor	Melanoma	4	-0.53	0.17	-0.87	-0.2	0.00199013652641619	0	0.453896216391511
Myeloid_DC	Signature	OS	COX	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	OS	COX	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	OS	COX	Sequencing	TPM	8	-0.09	0.2	-0.48	0.3	0.65293998431837	0.6	0.0133725800330837
Myeloid_DC	Signature	OS	COX	Sequencing	FPKM	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	PFS	COX	ALL	ALL	6	-0.16	0.15	-0.45	0.13	0.285031955673387	0.11	0.343359608657595
Myeloid_DC	Signature	PFS	COX	Tumor	Melanoma	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	PFS	COX	Tumor	Lung	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	PFS	COX	Tumor	Kidney	1	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	PFS	COX	Sequencing	TPM	5	-0.04	0.15	-0.33	0.25	0.787131807311185	0	0.533181698113741
Myeloid_DC	Signature	PFS	COX	Sequencing	FPKM	1	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	OS	DI	ALL	ALL	10	-0.09	0.13	-0.35	0.17	0.505328469353928	0.57	0.013477016538746
Myeloid_DC	Signature	OS	DI	Tumor	Melanoma	4	-0.42	0.15	-0.7	-0.13	0.00413109834059713	0	0.516247135280056
Myeloid_DC	Signature	OS	DI	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	OS	DI	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	OS	DI	Sequencing	TPM	8	-0.06	0.16	-0.36	0.25	0.723812872239579	0.59	0.016154410156321
Myeloid_DC	Signature	OS	DI	Sequencing	FPKM	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	PFS	DI	ALL	ALL	6	-0.07	0.11	-0.29	0.14	0.498528592876671	0.05	0.386393654583049
Myeloid_DC	Signature	PFS	DI	Tumor	Melanoma	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	PFS	DI	Tumor	Lung	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	PFS	DI	Tumor	Kidney	1	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	PFS	DI	Sequencing	TPM	5	0.02	0.1	-0.18	0.23	0.816181532747241	0	0.565547523864035
Myeloid_DC	Signature	PFS	DI	Sequencing	FPKM	1	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	Response	Log_regression	ALL	ALL	10	-0.19	0.22	-0.62	0.24	0.386532705512531	0.13	0.324336412879389
Myeloid_DC	Signature	Response	Log_regression	Tumor	Melanoma	4	-0.77	0.3	-1.35	-0.18	0.0100012622213309	0	0.944680769027168
Myeloid_DC	Signature	Response	Log_regression	Tumor	Lung	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	Response	Log_regression	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
Myeloid_DC	Signature	Response	Log_regression	Sequencing	TPM	8	0.04	0.21	-0.37	0.46	0.844456177956444	0	0.562267427440335
Myeloid_DC	Signature	Response	Log_regression	Sequencing	FPKM	2	NA	NA	NA	NA	NA	NA	NA
NonResponse_Ivy	Signature	OS	COX	ALL	ALL	13	0.12	0.15	-0.17	0.4	0.420527777133239	0.32	0.125521064687511
NonResponse_Ivy	Signature	OS	COX	Tumor	Melanoma	5	0.27	0.19	-0.11	0.64	0.170700126301823	0	0.735526855055014
NonResponse_Ivy	Signature	OS	COX	Tumor	Lung	1	NA	NA	NA	NA	NA	NA	NA
NonResponse_Ivy	Signature	OS	COX	Tumor	Kidney	3	0.13	0.47	-0.79	1.06	0.77704961502755	0.8	0.00751496774581295
NonResponse_Ivy	Signature	OS	COX	Sequencing	TPM	10	0.09	0.18	-0.26	0.44	0.619603882429248	0.48	0.0429649436179147
NonResponse_Ivy	Signature	OS	COX	Sequencing	FPKM	3	0.14	0.26	-0.36	0.64	0.579753362224378	0	0.86141664734589
NonResponse_Ivy	Signature	PFS	COX	ALL	ALL	8	0.06	0.14	-0.22	0.34	0.697108856275234	0	0.721778643114116
NonResponse_Ivy	Signature	PFS	COX	Tumor	Melanoma	2	NA	NA	NA	NA	NA	NA	NA
NonResponse_Ivy	Signature	PFS	COX	Tumor	Lung	3	0.06	0.29	-0.51	0.62	0.843967127359372	0	0.665257659014664
NonResponse_Ivy	Signature	PFS	COX	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
NonResponse_Ivy	Signature	PFS	COX	Sequencing	TPM	7	0.12	0.16	-0.2	0.43	0.459878638927825	0	0.717344581414733
NonResponse_Ivy	Signature	PFS	COX	Sequencing	FPKM	1	NA	NA	NA	NA	NA	NA	NA
NonResponse_Ivy	Signature	OS	DI	ALL	ALL	13	0.07	0.1	-0.12	0.26	0.462894646069929	0.24	0.205937058982631
NonResponse_Ivy	Signature	OS	DI	Tumor	Melanoma	5	0.19	0.13	-0.06	0.45	0.142849826028265	0	0.887023589116778
NonResponse_Ivy	Signature	OS	DI	Tumor	Lung	1	NA	NA	NA	NA	NA	NA	NA
NonResponse_Ivy	Signature	OS	DI	Tumor	Kidney	3	0.06	0.3	-0.53	0.64	0.85106541446518	0.79	0.00879625394792684
NonResponse_Ivy	Signature	OS	DI	Sequencing	TPM	10	0.04	0.12	-0.19	0.27	0.736865647049318	0.41	0.0818579961237524
NonResponse_Ivy	Signature	OS	DI	Sequencing	FPKM	3	0.14	0.17	-0.19	0.48	0.400820226413838	0	0.903069060417436
NonResponse_Ivy	Signature	PFS	DI	ALL	ALL	8	0.06	0.09	-0.12	0.24	0.521932840268954	0	0.733346425123086
NonResponse_Ivy	Signature	PFS	DI	Tumor	Melanoma	2	NA	NA	NA	NA	NA	NA	NA
NonResponse_Ivy	Signature	PFS	DI	Tumor	Lung	3	0.02	0.19	-0.35	0.39	0.921902318081893	0	0.747258515677919
NonResponse_Ivy	Signature	PFS	DI	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
NonResponse_Ivy	Signature	PFS	DI	Sequencing	TPM	7	0.07	0.11	-0.14	0.29	0.508202079308135	0	0.662652518208924
NonResponse_Ivy	Signature	PFS	DI	Sequencing	FPKM	1	NA	NA	NA	NA	NA	NA	NA
NonResponse_Ivy	Signature	Response	Log_regression	ALL	ALL	13	-0.25	0.22	-0.68	0.18	0.254155344451211	0	0.44350293399597
NonResponse_Ivy	Signature	Response	Log_regression	Tumor	Melanoma	5	-0.57	0.34	-1.24	0.1	0.097072689039031	0	0.446409646503407
NonResponse_Ivy	Signature	Response	Log_regression	Tumor	Lung	3	0.16	0.52	-0.86	1.18	0.76030007140405	0	0.846536730409347
NonResponse_Ivy	Signature	Response	Log_regression	Tumor	Kidney	3	-0.03	0.74	-1.48	1.43	0.972318180990739	0.57	0.0976469282897728
NonResponse_Ivy	Signature	Response	Log_regression	Sequencing	TPM	10	-0.21	0.26	-0.72	0.3	0.427093742450946	0.01	0.426834428354277
NonResponse_Ivy	Signature	Response	Log_regression	Sequencing	FPKM	3	-0.32	0.51	-1.32	0.68	0.527412048384419	0.25	0.263347719307132
TGFB_Mariathasan	Signature	OS	COX	ALL	ALL	13	0.02	0.11	-0.19	0.23	0.82029999317077	0	0.511804451108721
TGFB_Mariathasan	Signature	OS	COX	Tumor	Melanoma	5	-0.12	0.23	-0.57	0.32	0.589141981549892	0	0.407089546649119
TGFB_Mariathasan	Signature	OS	COX	Tumor	Lung	1	NA	NA	NA	NA	NA	NA	NA
TGFB_Mariathasan	Signature	OS	COX	Tumor	Kidney	3	-0.13	0.19	-0.51	0.25	0.489852081472725	0	0.57211708590985
TGFB_Mariathasan	Signature	OS	COX	Sequencing	TPM	10	0.06	0.11	-0.17	0.28	0.617315711361424	0	0.653514471466052
TGFB_Mariathasan	Signature	OS	COX	Sequencing	FPKM	3	-0.03	0.48	-0.97	0.91	0.95119443450373	0.46	0.158372169367535
TGFB_Mariathasan	Signature	PFS	COX	ALL	ALL	8	-0.05	0.14	-0.32	0.22	0.713594411369884	0	0.761681288567732
