signature	variable	outcome	model	Subgroup	Type	N	Effect_size	SE	95CI_low	95CI_high	Pval	I2	Pval_I2
nsTMB	continuous	OS	COX	ALL	ALL	27	-0.4796172558835	0.0658872724169104	-0.608753936860223	-0.350480574906776	3.35404498690562e-13	0	0.890394432289537
nsTMB	continuous	OS	COX	Tumor	Melanoma	7	-0.518418763093031	0.114698871077437	-0.743224419472209	-0.293613106713852	6.18909272149231e-06	0.279775620421814	0.214860064468997
nsTMB	continuous	OS	COX	Tumor	Lung	2	NA	NA	NA	NA	NA	NA	NA
nsTMB	continuous	OS	COX	Tumor	Kidney	4	-0.468636589694641	0.257119184798031	-0.97258093163308	0.0353077522437975	0.0683574152325136	0	0.905216865600687
nsTMB	continuous	OS	COX	Sequencing	WES	11	-0.535108788299526	0.120741137085709	-0.771757068439929	-0.298460508159123	9.34201815881654e-06	0	0.56225139177933
nsTMB	continuous	OS	COX	Sequencing	TGS	16	-0.456086017105981	0.0786256588776733	-0.610189476766953	-0.301982557445009	6.60278485019893e-09	0	0.897584494828683
nsTMB	median	OS	COX	ALL	ALL	27	-0.257781858352766	0.076620654008259	-0.407955580680858	-0.107608136024674	0.00076712708100581	0.296486719513094	0.0754169762583659
nsTMB	median	OS	COX	Tumor	Melanoma	7	-0.481853085785264	0.132598961651243	-0.741742275009108	-0.22196389656142	0.00027915506473651	0.0808603232891546	0.366723456358937
nsTMB	median	OS	COX	Tumor	Lung	2	NA	NA	NA	NA	NA	NA	NA
nsTMB	median	OS	COX	Tumor	Kidney	4	-0.175630279827443	0.25371836027713	-0.672909128187176	0.321648568532291	0.488795823660485	0.556006714204933	0.080064819304934
nsTMB	median	OS	COX	Sequencing	WES	11	-0.25303035685755	0.144088141384041	-0.535437924569585	0.0293772108544853	0.0790746861507663	0.352450156816684	0.11673182917646
nsTMB	median	OS	COX	Sequencing	TGS	16	-0.260652517434947	0.0903798402726415	-0.437793749297807	-0.0835112855720866	0.00392699342085556	0.302405082339508	0.121529280130283
nsTMB	10TMB	OS	COX	ALL	ALL	19	-0.482727956118303	0.0817839125050861	-0.643021479143047	-0.322434433093559	3.5807625793219e-09	0	0.603131832249681
nsTMB	10TMB	OS	COX	Tumor	Melanoma	7	-0.601235352808973	0.139374052787235	-0.874403476651337	-0.328067228966609	1.60453560111998e-05	0	0.870297793746822
nsTMB	10TMB	OS	COX	Tumor	Lung	2	NA	NA	NA	NA	NA	NA	NA
nsTMB	10TMB	OS	COX	Tumor	Kidney	0	NA	NA	NA	NA	NA	NA	NA
