signature	variable	outcome	model	study	Primary	Sequencing	N	Effect_size	SE	95CI_low	95CI_high	Pval
nsTMB	continuous	OS	COX	Braun	Kidney	WES	249	-0.38	0.55	-1.46	0.7	0.490211911782041
nsTMB	continuous	OS	COX	Hugo	Melanoma	WES	38	-1.32	0.68	-2.65	0.01	0.0520569807237274
nsTMB	continuous	OS	COX	Liu	Melanoma	WES	144	-0.67	0.25	-1.15	-0.19	0.00600558291043841
nsTMB	continuous	OS	COX	Mariathasan	Bladder	TGS	158	-0.53	0.31	-1.13	0.07	0.0852664381989968
nsTMB	continuous	OS	COX	Mariathasan	Kidney	TGS	58	-0.34	0.46	-1.25	0.57	0.463143098485335
nsTMB	continuous	OS	COX	Mariathasan	Ureteral	TGS	21	-1.4	1.35	-4.05	1.25	0.299857154486895
nsTMB	continuous	OS	COX	Miao.1	Kidney	WES	35	0.81	2.43	-3.95	5.57	0.738478919723075
nsTMB	continuous	OS	COX	Miao.2	Bladder	WES	27	-0.58	1.13	-2.79	1.62	0.605306595418303
nsTMB	continuous	OS	COX	Miao.2	Lung	WES	34	0.06	0.93	-1.77	1.88	0.952652672599966
nsTMB	continuous	OS	COX	Miao.2	Melanoma	WES	47	-0.64	0.41	-1.46	0.17	0.121847985685203
nsTMB	continuous	OS	COX	Nathanson	Melanoma	WES	64	-1.42	0.47	-2.35	-0.5	0.00256267582820685
nsTMB	continuous	OS	COX	Riaz	Melanoma	WES	68	-0.06	0.3	-0.66	0.53	0.839662190461231
nsTMB	continuous	OS	COX	Samstein	Bladder	TGS	158	-0.77	0.3	-1.37	-0.18	0.0110744347300676
nsTMB	continuous	OS	COX	Samstein	Brain	TGS	117	-0.02	0.3	-0.6	0.57	0.951422525934074
nsTMB	continuous	OS	COX	Samstein	Breast	TGS	46	-0.04	0.45	-0.92	0.84	0.924756471084075
nsTMB	continuous	OS	COX	Samstein	Colon	TGS	129	-0.67	0.26	-1.19	-0.16	0.00972291542537418
nsTMB	continuous	OS	COX	Samstein	Esophagus	TGS	83	-0.14	0.53	-1.17	0.9	0.798128195379154
nsTMB	continuous	OS	COX	Samstein	Eye	TGS	22	0.41	1.1	-1.73	2.56	0.705243469099888
nsTMB	continuous	OS	COX	Samstein	HNC	TGS	145	-0.33	0.25	-0.83	0.16	0.188607520101713
nsTMB	continuous	OS	COX	Samstein	Kidney	TGS	156	-0.63	0.38	-1.38	0.11	0.0968385619437047
nsTMB	continuous	OS	COX	Samstein	Lung	TGS	355	-0.41	0.17	-0.73	-0.08	0.0147164372247334
nsTMB	continuous	OS	COX	Samstein	Melanoma	TGS	214	-0.37	0.24	-0.85	0.11	0.133493520591395
nsTMB	continuous	OS	COX	Samstein	Stomach	TGS	46	-0.51	0.4	-1.29	0.27	0.200343595884183
nsTMB	continuous	OS	COX	Samstein	Unknown	TGS	122	-0.67	0.25	-1.16	-0.17	0.00858608689687928
nsTMB	continuous	OS	COX	Samstein	Ureteral	TGS	51	-1.03	0.62	-2.24	0.19	0.0976659005382282
nsTMB	continuous	OS	COX	Snyder	Ureteral	WES	25	-0.49	0.47	-1.42	0.44	0.306330933307131
nsTMB	continuous	OS	COX	Van_Allen	Melanoma	WES	112	-0.45	0.23	-0.89	0	0.050580799588614
nsTMB	median	OS	COX	Braun	Kidney	WES	249	0.23	0.19	-0.15	0.61	0.230896429795738
nsTMB	median	OS	COX	Hugo	Melanoma	WES	38	-0.69	0.47	-1.61	0.23	0.139982940849676
nsTMB	median	OS	COX	Liu	Melanoma	WES	144	-0.84	0.26	-1.36	-0.32	0.00150742083514709
nsTMB	median	OS	COX	Mariathasan	Bladder	TGS	158	-0.29	0.21	-0.7	0.11	0.158524554314006
nsTMB	median	OS	COX	Mariathasan	Kidney	TGS	58	-0.31	0.44	-1.18	0.56	0.483089044870482
nsTMB	median	OS	COX	Mariathasan	Ureteral	TGS	21	-0.25	0.6	-1.44	0.93	0.674449667362915
nsTMB	median	OS	COX	Miao.1	Kidney	WES	35	-0.05	0.5	-1.02	0.93	0.923555908275454
nsTMB	median	OS	COX	Miao.2	Bladder	WES	27	0.08	0.64	-1.16	1.33	0.898129959110855
nsTMB	median	OS	COX	Miao.2	Lung	WES	34	0.07	0.6	-1.11	1.25	0.902558400590297
nsTMB	median	OS	COX	Miao.2	Melanoma	WES	47	-0.14	0.48	-1.08	0.8	0.766135695614739
nsTMB	median	OS	COX	Nathanson	Melanoma	WES	64	-0.74	0.38	-1.48	0.01	0.0525672541438297
nsTMB	median	OS	COX	Riaz	Melanoma	WES	68	0.03	0.36	-0.68	0.73	0.940913143115672
nsTMB	median	OS	COX	Samstein	Bladder	TGS	158	-0.43	0.23	-0.9	0.03	0.0641732499225847
nsTMB	median	OS	COX	Samstein	Brain	TGS	117	0.24	0.22	-0.18	0.67	0.261453349100346
nsTMB	median	OS	COX	Samstein	Breast	TGS	46	-0.07	0.36	-0.76	0.63	0.852160131574892
nsTMB	median	OS	COX	Samstein	Colon	TGS	129	-0.58	0.28	-1.13	-0.03	0.0399046733131987
nsTMB	median	OS	COX	Samstein	Esophagus	TGS	83	-0.13	0.33	-0.78	0.52	0.69639394194152
nsTMB	median	OS	COX	Samstein	Eye	TGS	22	0.49	0.52	-0.53	1.51	0.344613148899842
nsTMB	median	OS	COX	Samstein	HNC	TGS	145	-0.24	0.23	-0.69	0.21	0.291501538295581
nsTMB	median	OS	COX	Samstein	Kidney	TGS	156	-0.75	0.34	-1.41	-0.09	0.0263380749908387
nsTMB	median	OS	COX	Samstein	Lung	TGS	355	0.06	0.14	-0.22	0.33	0.682353604315114
nsTMB	median	OS	COX	Samstein	Melanoma	TGS	214	-0.61	0.25	-1.11	-0.11	0.0172101798622592
nsTMB	median	OS	COX	Samstein	Stomach	TGS	46	-0.42	0.44	-1.28	0.45	0.344234772308794
nsTMB	median	OS	COX	Samstein	Unknown	TGS	122	-0.78	0.31	-1.38	-0.18	0.0107985678028672
nsTMB	median	OS	COX	Samstein	Ureteral	TGS	51	-0.13	0.48	-1.07	0.8	0.779583024558991
nsTMB	median	OS	COX	Snyder	Ureteral	WES	25	-0.45	0.5	-1.43	0.52	0.36468956868484
nsTMB	median	OS	COX	Van_Allen	Melanoma	WES	112	-0.21	0.25	-0.69	0.27	0.391017193198993
nsTMB	10TMB	OS	COX	Hugo	Melanoma	WES	38	-0.65	0.57	-1.76	0.46	0.252925457321751
nsTMB	10TMB	OS	COX	Liu	Melanoma	WES	144	-0.98	0.33	-1.62	-0.34	0.00288323987679056
nsTMB	10TMB	OS	COX	Mariathasan	Bladder	TGS	158	-0.98	0.46	-1.88	-0.08	0.0327675592849399
nsTMB	10TMB	OS	COX	Miao.2	Lung	WES	34	0.87	0.71	-0.53	2.27	0.222745381946038
nsTMB	10TMB	OS	COX	Miao.2	Melanoma	WES	47	-0.46	0.44	-1.31	0.4	0.293413100231828
