gene;coef
TNXB;-1
DPT;-1
GPM6B;-1
MFAP4;-1
DCN;-1
FBLN5;-1
JAM2;-1
MYH11;-1
ABI3BP;-1
RECK;-1
PDGFRA;-1
LAMA2;-1
CYR61;-1
FGF2;-1
COL4A6;-1
DDR2;-1
ECM2;-1
COL14A 1;-1
A2M;-1
COL4A3;-1
FBLN1;-1
ITGA9;-1
COL4A4;-1
CTGF;-1
FLRT2;-1
TLL1;-1
LAMC3;-1
MFAP5;-1
MMP11;1
ADAMT S14;1
SERPINH 1;1
COL10A 1;1
COL11A 1;1
MMP1;1
COL1A1;1
LOXL2;1
MMP9;1
ADAM1 2;1
ACAN;1
SPP1;1
FAP;1
ADAM8;1
COL5A2;1
TIMP1;1
MMP12;1
ITGAX;1
COL5A1;1
COL7A1;1
COL5A3;1
TGFBI;1
COMP;1
MFAP2;1
VCAN;1
COL1A2;1
COL3A1;1
SULF1;1
POSTN;1
FN1;1
